,well,row,column,image,cell_line,siRNA,1NM_conc,time,MI,cell_count
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,50,1.79,336
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,60,2.07,338
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,70,2.92,343
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,80,3.23,341
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,90,4.13,339
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,100,5.6,339
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,110,5.62,338
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,120,6.65,331
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,130,8.51,329
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,140,11.14,341
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,150,11.87,337
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,160,13.69,336
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,170,15.45,343
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,180,15.38,338
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,190,18.08,343
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,200,18.53,340
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,210,19.94,341
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,220,22.7,348
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,230,23.82,340
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,0,1.41,283
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,10,1.44,277
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,20,0.73,275
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,30,1.45,275
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,40,1.47,273
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,50,2.16,278
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,60,2.88,278
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,70,2.52,278
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,80,4.98,281
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,90,4.32,278
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,100,8.57,280
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,110,8.57,280
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,120,9.22,282
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,130,12.41,282
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,140,13.17,281
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,150,14.18,282
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,160,15.38,286
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,170,16.07,280
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,180,15.0,280
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,190,17.99,278
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,200,20.14,283
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,210,21.25,287
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,220,20.7,285
0,E3,4,3,400995,U2OScdk1as,siB55gamma,0.5,230,22.73,286
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,0,1.71,525
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,10,2.09,526
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,20,1.9,527
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,30,2.08,529
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,40,3.22,528
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,50,6.19,533
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,60,8.75,526
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,70,13.18,531
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,80,16.48,528
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,90,18.56,528
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,100,20.6,529
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,110,22.99,522
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,120,23.85,520
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,130,24.18,517
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,140,26.6,515
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,150,26.67,510
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,160,25.93,509
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,170,28.04,510
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,180,29.24,513
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,190,29.32,515
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,200,30.12,508
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,210,30.53,511
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,220,31.05,512
0,C2,2,2,400990,U2OScdk1as,siB55alpha,0.25,230,30.68,502
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,0,2.49,402
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,10,1.72,406
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,20,1.72,407
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,30,1.48,406
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,40,3.16,411
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,50,8.54,410
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,60,10.81,407
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,70,12.93,410
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,80,15.83,398
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,90,16.91,408
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,100,19.7,401
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,110,23.15,406
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,120,25.25,404
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,130,25.87,402
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,140,27.65,405
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,150,30.2,404
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,160,30.27,403
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,170,31.37,408
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,180,30.81,396
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,190,31.86,408
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,200,32.43,407
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,210,31.16,398
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,220,31.67,401
0,C2,2,2,400991,U2OScdk1as,siB55alpha,0.25,230,33.33,399
0,C2,2,2,400992,U2OScdk1as,siB55alpha,0.25,0,3.11,578
0,C2,2,2,400992,U2OScdk1as,siB55alpha,0.25,10,2.82,568
0,C2,2,2,400992,U2OScdk1as,siB55alpha,0.25,20,3.67,572
0,C2,2,2,400992,U2OScdk1as,siB55alpha,0.25,30,3.81,577
0,C2,2,2,400992,U2OScdk1as,siB55alpha,0.25,40,4.33,578
0,C2,2,2,400992,U2OScdk1as,siB55alpha,0.25,50,5.4,574
0,C2,2,2,400992,U2OScdk1as,siB55alpha,0.25,60,9.42,573
0,C2,2,2,400992,U2OScdk1as,siB55alpha,0.25,70,11.76,561
0,C2,2,2,400992,U2OScdk1as,siB55alpha,0.25,80,13.24,559
0,C2,2,2,400992,U2OScdk1as,siB55alpha,0.25,90,14.46,560
0,C2,2,2,400992,U2OScdk1as,siB55alpha,0.25,100,16.19,556
0,C2,2,2,400992,U2OScdk1as,siB55alpha,0.25,110,17.24,557
0,C2,2,2,400992,U2OScdk1as,siB55alpha,0.25,120,19.33,564
0,C2,2,2,400992,U2OScdk1as,siB55alpha,0.25,130,22.2,563
